User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,satisfaction_score,daily_watch_hours,primary_device,monthly_income,promo_offers_used,profile_count,churn_status,preferred_watching_time
1,James Martinez,18,France,Premium,80.26,Drama,2024.5.12,7,2.68,Smart TV,4198,0,5,No,Evening
2,John Miller,23,USA,Premium,321.75,Sci-Fi,2025.2.5,7,10.72,Smart TV,3051,0,1,No,Afternoon
3,Emma Davis,60,UK,Basic,35.89,Comedy,2025.1.24,4,1.2,Smart TV,5485,0,5,Yes,Morning
4,Emma Miller,44,USA,Premium,261.56,Documentary,2024.3.25,7,8.72,Laptop,4842,0,5,No,Evening
5,Jane Smith,68,USA,Standard,909.3,Drama,2025.1.14,8,30.31,Mobile,6230,1,2,No,Night
6,David Johnson,21,USA,Standard,615.93,Romance,2025.2.3,9,20.53,Laptop,5744,0,1,No,Morning
7,John Hernandez,57,Canada,Standard,755.47,Romance,2025.1.5,7,25.18,Laptop,4800,0,2,No,Evening
8,Katie Hernandez,68,USA,Standard,145.23,Sci-Fi,2024.10.30,5,4.84,Smart TV,6045,1,3,Yes,Afternoon
9,James Williams,39,UK,Basic,950.14,Action,2024.4.16,7,31.67,Laptop,4017,1,1,No,Evening
10,Alex Davis,55,Mexico,Standard,696.66,Horror,2024.7.3,8,23.22,Smart TV,2349,0,2,No,Morning
11,Jane Miller,26,Japan,Standard,290.31,Action,2024.9.11,7,9.68,Smart TV,3190,1,2,No,Evening
12,Jane Martinez,62,USA,Standard,490.39,Action,2024.6.12,9,16.35,Tablet,5290,1,2,No,Evening
13,Alex Martinez,65,Australia,Premium,712.23,Comedy,2024.8.8,7,23.74,Mobile,5401,0,2,No,Evening
14,Alex Smith,35,Germany,Premium,73.63,Sci-Fi,2024.10.2,6,2.45,Smart TV,5349,1,3,No,Night
15,Michael Jones,68,USA,Premium,359.3,Sci-Fi,2024.7.25,6,11.98,Laptop,3822,1,1,No,Night
16,Chris Miller,39,Australia,Premium,768.19,Comedy,2024.10.11,7,25.61,Smart TV,4423,0,5,No,Evening
17,Chris Davis,74,UK,Standard,610.7,Drama,2024.7.3,7,20.36,Smart TV,4767,0,5,No,Morning
18,Emma Williams,59,Canada,Premium,813.46,Documentary,2024.8.8,6,27.12,Mobile,6601,0,3,No,Evening
19,Alex Johnson,63,Brazil,Premium,963.64,Action,2024.8.8,8,32.12,Mobile,1869,0,2,No,Evening
20,John Jones,67,Canada,Standard,460.6,Comedy,2024.12.7,7,15.35,Mobile,3702,0,3,Yes,Morning
21,Michael Williams,47,France,Standard,637.43,Horror,2025.1.21,8,21.25,Mobile,3436,0,3,No,Evening
22,James Martinez,46,UK,Premium,620.74,Comedy,2024.4.19,8,20.69,Smart TV,3353,0,1,No,Afternoon
23,Sarah Davis,40,UK,Basic,451.59,Drama,2024.4.8,7,15.05,Smart TV,3657,1,5,Yes,Evening
24,John Smith,46,UK,Basic,388.91,Horror,2024.10.16,7,12.96,Smart TV,3245,0,2,No,Night
25,Alex Brown,37,Canada,Basic,418.2,Horror,2024.5.26,8,13.94,Laptop,1811,1,1,No,Morning
